k,lr,lambda_reg,max_iter,recall@10,precision@10,ndcg@10
5,0.001,0.0001,50,0.1072169062857642,0.1553666312433567,0.18713578450581747
5,0.001,0.0001,100,0.1070892703767202,0.15621679064824515,0.18803666099175867
5,0.001,0.0001,200,0.1027209428023572,0.15557917109457892,0.18743178421858017
5,0.001,0.001,50,0.10962802850004563,0.15664187035068927,0.18833144813076405
5,0.001,0.001,100,0.10739240728803932,0.15589798087141196,0.18800305257986236
5,0.001,0.001,200,0.10565333847004622,0.15749202975557777,0.18905451667006581
5,0.001,0.01,50,0.1068377405400553,0.1549415515409126,0.1866843461365439
5,0.001,0.01,100,0.10022984823124223,0.15292242295430275,0.18467685631445255
5,0.001,0.01,200,0.09426689457354502,0.15175345377258126,0.18313294956948137
5,0.01,0.0001,50,0.14261224455110622,0.21721572794898866,0.2571985264490591
5,0.01,0.0001,100,0.18489502349073914,0.2551540913921345,0.31195934527411706
5,0.01,0.0001,200,0.2042435369167396,0.2666312433581286,0.3279436585886865
5,0.01,0.001,50,0.15226253221518693,0.22221041445270825,0.2641228096361319
5,0.01,0.001,100,0.18801120252947595,0.25557917109457884,0.317572323706871
5,0.01,0.001,200,0.2092689039555409,0.27120085015940343,0.3306394087917186
5,0.01,0.01,50,0.155710288450062,0.22592986184909514,0.27541024786946217
5,0.01,0.01,100,0.1975252573976244,0.2607863974495204,0.3205726295510716
5,0.01,0.01,200,0.2065266081926725,0.2706695005313483,0.33385817439514825
5,0.05,0.0001,50,0.18943060899304648,0.2564293304994672,0.3134590302139948
5,0.05,0.0001,100,0.19401084159314988,0.2586609989372992,0.318688081087382
5,0.05,0.0001,200,0.19207621818117676,0.25749202975557767,0.3175665802754531
5,0.05,0.001,50,0.1977803435983472,0.2595111583421878,0.31968488586522564
5,0.05,0.001,100,0.19485361685854016,0.2587672688629105,0.3139252695836972
5,0.05,0.001,200,0.19259965377376198,0.2587672688629105,0.3142405118032514
5,0.05,0.01,50,0.19445030289443072,0.25717321997874437,0.3169470198267752
5,0.05,0.01,100,0.19145573040204333,0.2531349628055246,0.30194543083032294
5,0.05,0.01,200,0.19510925536343382,0.25866099893729955,0.3089203678599744
10,0.001,0.0001,50,0.1141251087430819,0.15866099893729918,0.1905115454951929
10,0.001,0.0001,100,0.10663081157278727,0.15472901168969044,0.18586136667608835
10,0.001,0.0001,200,0.09960600331910266,0.15430393198724635,0.18627446907060047
10,0.001,0.001,50,0.10833118757759576,0.15515409139213454,0.18795917474266963
10,0.001,0.001,100,0.10676362773066557,0.156004250797023,0.1866803707606781
10,0.001,0.001,200,0.09803199039512771,0.15377258235919114,0.18522886357415883
10,0.001,0.01,50,0.11145359179756659,0.15685441020191138,0.18955172779429236
10,0.001,0.01,100,0.10635743053984235,0.15600425079702307,0.18778202188566967
10,0.001,0.01,200,0.10190047654587707,0.15441020191285731,0.18617030532365428
10,0.01,0.0001,50,0.1420624347237775,0.21742826780021096,0.25739449598227887
10,0.01,0.0001,100,0.20324823349637616,0.2727948990435692,0.33600721168875697
10,0.01,0.0001,200,0.21262451658039547,0.2718384697130697,0.3383655606087267
10,0.01,0.001,50,0.151863186198036,0.22454835281615143,0.26841589716495534
10,0.01,0.001,100,0.20021249002914077,0.2688629117959603,0.3293838594915401
10,0.01,0.001,200,0.2105564907569447,0.2687566418703493,0.336783796019122
10,0.01,0.01,50,0.1466626455774227,0.217428267800211,0.25809277603108344
10,0.01,0.01,100,0.20196825414757724,0.26748140276301696,0.33015903225221327
10,0.01,0.01,200,0.21484982638204236,0.2828905419766201,0.34455067805182144
